Authors,Year,N,Observed Suicides,Measure of Association,Study Design,Location,% Male,doi
Joukamaa,1998,903,17,OR,Retrospective cohort,Finland,96.3,
Nieuwbeerta et al,2008,4615,28,OR,Retrospective cohort,Netherlands,89,
Rosen et al,2008,15673,752,OR,Retrospective cohort,United States,100,
Haglund et al,2014,26953,127,OR,Retrospective cohort,Sweden,92.4,
Putkonen et al,2001,132,6,SMR,Retrospective cohort,Finland,0,
Coffey et al,2003,2849,23,SMR,Retrospective cohort,Australia,92.1,
Lindqvist et al,2007,176,9,SMR,Retrospective cohort,Sweden,91.7,
Lim et al,2012,155272,35,SMR,Retrospective cohort,United States,88.3,
Binswanger et al,2013,30636,212,SMR,Retrospective cohort,United States,83.9,
Pridemore,2014,292,16,OR,Population-based case-control,"Russia, Germany, United Kingdom, & United States",100,
Spittal et al,2014,41970,371,SMR,Retrospective cohort,Australia,88.1,
Dirkzwager et al,2012,597,12,OR,Longitudinal cohort,Netherlands,96.8,
Elonheimo et al,2017,76208,17,OR,Retrospective cohort,Finland,100,
Jones et al,2017,41495,39,SMR,Retrospective cohort,United States,89.3,
Barry et al,2018,7671,2,HR,Retrospective cohort,United States,98.7,
Pratt et al,2006,244988,382,RR,Retrospective cohort,England & Wales,Not provided,
